counter,filename,scan_type,obs_seq,ele,n1,n2
3870,mapmaker_POLE3-339-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-339-2,POLE3,339,2
3871,mapmaker_POLE3-339-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-339-3,POLE3,339,3
3872,mapmaker_POLE3-340-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-340-0,POLE3,340,0
3873,mapmaker_POLE3-340-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-340-1,POLE3,340,1
3874,mapmaker_POLE3-340-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-340-2,POLE3,340,2
3875,mapmaker_POLE3-340-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-340-3,POLE3,340,3
3876,mapmaker_POLE3-341-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-341-0,POLE3,341,0
3877,mapmaker_POLE3-341-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-341-1,POLE3,341,1
3878,mapmaker_POLE3-341-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-341-2,POLE3,341,2
3879,mapmaker_POLE3-341-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-341-3,POLE3,341,3
3880,mapmaker_POLE3-342-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-342-0,POLE3,342,0
3881,mapmaker_POLE3-342-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-342-1,POLE3,342,1
3882,mapmaker_POLE3-342-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-342-2,POLE3,342,2
3883,mapmaker_POLE3-343-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-343-0,POLE3,343,0
3884,mapmaker_POLE3-343-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-343-1,POLE3,343,1
3885,mapmaker_POLE3-343-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-343-2,POLE3,343,2
3886,mapmaker_POLE3-343-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-343-3,POLE3,343,3
3887,mapmaker_POLE3-344-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-344-0,POLE3,344,0
3888,mapmaker_POLE3-344-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-344-1,POLE3,344,1
3889,mapmaker_POLE3-344-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-344-2,POLE3,344,2
3890,mapmaker_POLE3-344-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-344-3,POLE3,344,3
3891,mapmaker_POLE3-345-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-345-0,POLE3,345,0
3892,mapmaker_POLE3-345-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-345-1,POLE3,345,1
3893,mapmaker_POLE3-345-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-345-2,POLE3,345,2
3894,mapmaker_POLE3-345-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-345-3,POLE3,345,3
3895,mapmaker_POLE3-346-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-346-0,POLE3,346,0
3896,mapmaker_POLE3-346-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-346-1,POLE3,346,1
3897,mapmaker_POLE3-346-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-346-2,POLE3,346,2
3898,mapmaker_POLE3-346-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-346-3,POLE3,346,3
3899,mapmaker_POLE3-347-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-347-0,POLE3,347,0
3900,mapmaker_POLE3-347-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-347-1,POLE3,347,1
3901,mapmaker_POLE3-347-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-347-2,POLE3,347,2
3902,mapmaker_POLE3-347-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-347-3,POLE3,347,3
3903,mapmaker_POLE3-348-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-348-0,POLE3,348,0
3904,mapmaker_POLE3-348-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-348-1,POLE3,348,1
3905,mapmaker_POLE3-348-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-348-2,POLE3,348,2
3906,mapmaker_POLE3-348-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-348-3,POLE3,348,3
3907,mapmaker_POLE3-349-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-349-0,POLE3,349,0
3908,mapmaker_POLE3-349-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-349-1,POLE3,349,1
3909,mapmaker_POLE3-349-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-349-2,POLE3,349,2
3910,mapmaker_POLE3-349-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-349-3,POLE3,349,3
3911,mapmaker_POLE3-350-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-350-0,POLE3,350,0
3912,mapmaker_POLE3-350-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-350-1,POLE3,350,1
3913,mapmaker_POLE3-350-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-350-2,POLE3,350,2
